ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-3.65535,2.15358,8.97826,0.19707,0.16964,0.14541,9,2016-04-03 23:58:59:154
-3.65535,2.15358,8.97826,0.19707,0.16964,0.14541,110,2016-04-03 23:58:59:255
-3.76548,2.24456,8.70412,-0.13342,-0.0791,-0.05699,210,2016-04-03 23:58:59:355
-3.69964,2.20745,8.66581,0.00719,0.01678,-0.04048,309,2016-04-03 23:58:59:454
-3.67749,2.23559,8.31506,-0.53663,-0.70334,-0.05593,410,2016-04-03 23:58:59:555
-2.41455,1.20129,9.98861,-0.99389,-1.09403,0.04447,509,2016-04-03 23:58:59:654
-1.92614,0.51595,9.35115,0.27883,0.33982,0.40027,610,2016-04-03 23:58:59:755
-1.92614,0.51595,9.35115,0.27883,0.33982,0.40027,710,2016-04-03 23:58:59:855
-3.70922,1.94469,8.15286,-0.22051,-0.4341,-0.34808,809,2016-04-03 23:58:59:954
-1.57,0.89304,10.55783,0.74355,-1.52679,-0.28576,909,2016-04-03 23:59:00:054
-3.81456,3.31537,8.99142,-0.65887,2.09591,-1.56248,1009,2016-04-03 23:59:00:154
-4.35864,-0.54528,9.32063,-0.02876,0.67884,-0.10413,1109,2016-04-03 23:59:00:254
-2.26252,1.48321,8.78253,0.44182,-1.41387,0.35047,1209,2016-04-03 23:59:00:354
-2.26252,1.48321,8.78253,0.44182,-1.41387,0.35047,1309,2016-04-03 23:59:00:454
-0.9517,1.6496,9.38886,0.23889,0.0735,0.45167,1409,2016-04-03 23:59:00:554
-1.74896,0.87209,9.81802,0.46605,-0.0237,-0.05273,1509,2016-04-03 23:59:00:654
-1.24977,2.26252,9.90062,0.07563,-0.23649,0.1273,1609,2016-04-03 23:59:00:754
-1.14263,2.6438,9.05786,-0.03116,0.48017,0.19281,1709,2016-04-03 23:59:00:854
-1.89381,2.6013,8.56765,-0.13103,0.47724,0.24874,1810,2016-04-03 23:59:00:955
-1.89381,2.6013,8.56765,-0.13103,0.47724,0.24874,1909,2016-04-03 23:59:01:054
-1.83575,2.10091,9.76954,0.01252,-0.17257,0.13715,2009,2016-04-03 23:59:01:154
-1.85491,2.12665,9.57681,-0.04181,-0.20373,0.0538,2110,2016-04-03 23:59:01:255
-1.5281,2.30322,9.34876,-0.16831,-0.14754,0.08442,2209,2016-04-03 23:59:01:354
-1.16538,2.34871,9.56484,-0.00826,0.28576,0.15393,2310,2016-04-03 23:59:01:455
-1.87646,1.69569,9.38647,-0.14115,-0.32464,0.05353,2409,2016-04-03 23:59:01:554
-1.87646,1.69569,9.38647,-0.14115,-0.32464,0.05353,2509,2016-04-03 23:59:01:654
-1.66756,1.55982,9.65222,-0.79629,1.04183,0.94036,2609,2016-04-03 23:59:01:754
-2.99694,0.79727,7.97389,-0.67378,2.5609,1.25941,2710,2016-04-03 23:59:01:855
-5.68204,-0.24241,8.21391,0.59841,-0.38776,0.62931,2809,2016-04-03 23:59:01:954
-3.93726,-0.05327,9.15603,-0.4578,-1.12732,0.44182,2910,2016-04-03 23:59:02:055
-2.96402,-0.15383,9.50977,1.15075,-0.3779,1.1361,3010,2016-04-03 23:59:02:155
-2.96402,-0.15383,9.50977,1.15075,-0.3779,1.1361,3109,2016-04-03 23:59:02:254
